translationable_id,text,translationable_type,lang,source
115,Malí,App\Country,es,Mali
116,Malta,App\Country,es,Malta
117,Myanmar,App\Country,es,Myanmar
118,Montenegro,App\Country,es,Montenegro
119,Mongolia,App\Country,es,Mongolia
120,Mozambique,App\Country,es,Mozambique
121,Mauritania,App\Country,es,Mauritania
122,Mauricio,App\Country,es,Mauritius
123,Malawi,App\Country,es,Malawi
124,Malasia,App\Country,es,Malaysia
125,Namibia,App\Country,es,Namibia
126,Níger,App\Country,es,Niger
127,Nigeria,App\Country,es,Nigeria
128,Nicaragua,App\Country,es,Nicaragua
129,Países Bajos,App\Country,es,Netherlands
130,Noruega,App\Country,es,Norway
131,Nepal,App\Country,es,Nepal
132,Nauru,App\Country,es,Nauru
133,Nueva Zelandia,App\Country,es,New Zealand
134,Omán,App\Country,es,Oman
135,Pakistán,App\Country,es,Pakistan
136,Panamá,App\Country,es,Panama
137,Perú,App\Country,es,Peru
138,Filipinas,App\Country,es,Philippines
139,Palau,App\Country,es,Palau
140,Papua Nueva Guinea,App\Country,es,Papua New Guinea
141,Polonia,App\Country,es,Poland
142,República Popular Democrática de Corea,App\Country,es,Dem People's Rep of Korea
143,Portugal,App\Country,es,Portugal
144,Paraguay,App\Country,es,Paraguay
145,Qatar,App\Country,es,Qatar
146,Rumania,App\Country,es,Romania
147,Federación de Rusia,App\Country,es,Russian Federation
148,Rwanda,App\Country,es,Rwanda
149,Arabia Saudita,App\Country,es,Saudi Arabia
150,Senegal,App\Country,es,Senegal
151,Singapur,App\Country,es,Singapore
152,Islas Salomón,App\Country,es,Solomon Islands
153,Sierra Leona,App\Country,es,Sierra Leone
154,El Salvador,App\Country,es,El Salvador
155,San Marino,App\Country,es,San Marino
156,Somalia,App\Country,es,Somalia
157,Serbia,App\Country,es,Serbia
158,Santo Tomé y Príncipe,App\Country,es,Sao Tome and Principe
159,Suriname,App\Country,es,Suriname
160,Eslovaquia,App\Country,es,Slovakia
161,Eslovenia,App\Country,es,Slovenia
162,Suecia,App\Country,es,Sweden
163,Eswatini,App\Country,es,Eswatini
164,Seychelles,App\Country,es,Seychelles
165,República Árabe Siria,App\Country,es,Syrian Arab Republic
166,Chad,App\Country,es,Chad
167,Togo,App\Country,es,Togo
168,Tailandia,App\Country,es,Thailand
169,Tayikistán,App\Country,es,Tadjikistan
170,Turkmenistán,App\Country,es,Turkmenistan
171,Timor-Leste,App\Country,es,Timor-Leste
172,Tonga,App\Country,es,Tonga
173,Trinidad y Tabago,App\Country,es,Trinidad and Tobago
174,Túnez,App\Country,es,Tunisia
175,Turquía,App\Country,es,Turkey
176,Tuvalu,App\Country,es,Tuvalu
177,República Unida de Tanzanía,App\Country,es,United Republic of Tanzania
178,Uganda,App\Country,es,Uganda
179,Ucrania,App\Country,es,Ukraine
180,Uruguay,App\Country,es,Uruguay
181,Estados Unidos de América,App\Country,es,United States of America
182,Uzbekistán,App\Country,es,Uzbekistan
183,San Vicente y las Granadinas,App\Country,es,Saint Vincent and the Grenadines
184,Venezuela (República Bolivariana de),App\Country,es,Venezuela (Bolivarian Republic of)
185,Viet Nam,App\Country,es,Viet Nam
186,Vanuatu,App\Country,es,Vanuatu
187,Samoa,App\Country,es,Samoa
188,Yemen,App\Country,es,Yemen
189,Sudáfrica,App\Country,es,South Africa
190,Zambia,App\Country,es,Zambia
191,Zimbabwe,App\Country,es,Zimbabwe
192,Sudán,App\Country,es,Sudan
193,Sudán del Sur,App\Country,es,South Sudan
194,Todos,App\Country,es,All
195,Otros,App\Country,es,Other
