translationable_id,text,translationable_type,lang,source
110,La communication d’informations demande trop d’efforts,App\Value,fr,Reporting is too effortful
111,Autre,App\Value,fr,Other
112,Les résultats ont été évalués,App\Value,fr,Outcome Evaluated
113,Oui,App\Value,fr,Yes
114,Non,App\Value,fr,No
115,Autre,App\Value,fr,Other
116,Couverture géographique,App\Value,fr,Geography
117,Mondiale (toute la planète),App\Value,fr,Global (it covers the whole world)
118,Régionale (régions de l’ONU),App\Value,fr,Regional (UN Regions)
119,Transnationale (deux pays ou plus),App\Value,fr,"Transnational (several countries are involved, including bilateral)"
120,Nationale (ensemble du territoire d’un pays),App\Value,fr,National (it covers one entire country)
121,Infranationale (parties d’un pays),App\Value,fr,Sub-national (it covers parts of one country)
122,Mondiale avec des éléments limités à des zones spécifiques,App\Value,fr,Global with elements in specific areas
123,Autre,App\Value,fr,Other
124,De la source à la mer,App\Value,fr,Source to Sea
125,Montagnes et hautes terres,App\Value,fr,Mountains and upland area
126,Terres agricoles,App\Value,fr,Agricultural land/soils
127,Bassin versant entier,App\Value,fr,Entire water catchment
128,Forêts ou mangroves,App\Value,fr,Forests or Mangroves
129,Cours d’eau et lacs d’eau douce,App\Value,fr,Freshwater rivers and lakes
130,Milieu urbain,App\Value,fr,Urban environment
131,Sites d’élimination de déchets,App\Value,fr,Waste disposal sites
132,Zones côtières,App\Value,fr,Coastal zone
133,Espace maritime sous juridiction nationale,App\Value,fr,Maritime area within national jurisdiction
134,Zones ne relevant pas d’une juridiction nationale,App\Value,fr,Areas beyond national jurisdiction
135,Haute mer,App\Value,fr,Open ocean and high seas
136,Air,App\Value,fr,Air
137,Tout ce qui précède,App\Value,fr,All of the above
138,Sans objet,App\Value,fr,Not applicable
139,Autre,App\Value,fr,Other
140,Cycle de vie des plastiques,App\Value,fr,Lifecycle of Plastics
141,Matières premières,App\Value,fr,Raw materials
142,Conception,App\Value,fr,Design
143,Production/manufacture,App\Value,fr,Production / Manufacture
144,Utilisation/consommation,App\Value,fr,Use / consumption
145,Collecte/tri après utilisation,App\Value,fr,Collection / sorting of plastics after use
146,Gestion des plastiques collectés,App\Value,fr,Management of collected plastics
147,Enlèvement des contaminants plastiques de l’environnement,App\Value,fr,Clean-up of plastic from the environment
148,Tout ce qui précède,App\Value,fr,All of the above
149,Sans objet,App\Value,fr,Not applicable
150,Autre,App\Value,fr,Other
151,Action cible,App\Value,fr,Target Action
152,Réduction,App\Value,fr,Reducing plastics
153,Réutilisation,App\Value,fr,Reusing plastic
154,Recyclage,App\Value,fr,Recycling plastics
155,Sans objet,App\Value,fr,Not Applicable
156,Autre,App\Value,fr,Other
157,Impact,App\Value,fr,Impact
158,Santé et bien-être humains,App\Value,fr,Human health and wellbeing
159,Biodiversité,App\Value,fr,Biodiversity
160,Organismes marins,App\Value,fr,Marine organisms
161,Services écosystémiques,App\Value,fr,Ecosystem Services
162,Chaîne trophique,App\Value,fr,Food chain
163,Économie et commerce,App\Value,fr,Economics and Trade
164,Tout ce qui précède,App\Value,fr,All of the above
165,Sans objet,App\Value,fr,Not applicable
166,Autre,App\Value,fr,Other
167,Polluants ciblés,App\Value,fr,Pollutant Targeted
168,"Macroplastiques (grande taille, à savoir plus de 20 mm, par ex., bouteilles)",App\Value,fr,"Macroplastic (large, more than 20 mm, e.g. plastic bottles)"
169,"Microplastiques (minuscules particules de moins de 5 mm de diamètre que l’on trouve, par ex., dans les produits de soins corporels/textiles synthétiques)",App\Value,fr,"Microplastics (tiny plastic particles less than 5 mm in diameter, e.g., found in personal care products/synthetic textiles)"
170,Additifs incorporés dans les articles en plastique,App\Value,fr,Additives incorporated into plastic items
171,Sans objet,App\Value,fr,Not applicable
172,Autre,App\Value,fr,Other
173,Bouteilles,App\Value,fr,Bottles
174,Sachets,App\Value,fr,Plastic bags
175,"Emballages alimentaires (récipients, enveloppages, etc.)",App\Value,fr,"Food packaging (containers, wrappers etc.)"
176,"Emballages non alimentaires (récipients, enveloppages, etc.)",App\Value,fr,"Non-food packaging (containers, wrappers etc.)"
177,Détritus jetés par les fumeurs (mégots et paquets de cigarettes),App\Value,fr,Smoking related litter (cigarette butts and packets)
178,Articles de pêche,App\Value,fr,Fishing related items
179,Articles utilisés pour le transport de marchandises,App\Value,fr,Shipping related items
180,Gobelets jetables,App\Value,fr,"Cups (e.g., disposable coffee cups)"
181,"Pailles, spatules à boisson, couverts en plastique",App\Value,fr,"Plastic straws, stirrers, cutlery"
182,"Articles trouvés dans les eaux usées (il peut s’agir de bâtonnets de coton-tige, d’articles d’hygiène féminine et d’autres articles jetés dans les toilettes)",App\Value,fr,"Sewage-related items (this could include cotton bud sticks, feminine hygiene items and others disposed of via toilets)"
183,Débris produits par les catastrophes/phénomènes naturels,App\Value,fr,Natural disaster/hazard related debris
184,Articles en polystyrène,App\Value,fr,Polystyrene items
185,Tout ce qui précède,App\Value,fr,All of the above
186,Sans objet,App\Value,fr,Not applicable
187,Autre,App\Value,fr,Other
188,Microbilles utilisées dans les cosmétiques,App\Value,fr,Microbeads used in cosmetics
189,"Microplastiques utilisés dans d’autres produits, par ex. les peintures",App\Value,fr,Microplastics used in other products e.g. paints
190,Tout ce qui précède,App\Value,fr,All of the above
191,Sans objet,App\Value,fr,Not applicable
192,Autre,App\Value,fr,Other
193,Secteur,App\Value,fr,Sector
194,Emballage,App\Value,fr,Packaging
195,Textiles,App\Value,fr,Textiles
196,Transport,App\Value,fr,Transportation
197,"Bâtiment, construction, démolition",App\Value,fr,"Building, Construction, Demolition"
198,Machines industrielles,App\Value,fr,Industrial Machinery
199,Automobile,App\Value,fr,Automotive
200,Matériel électrique et électronique,App\Value,fr,Electrical and Electronics
201,Agriculture,App\Value,fr,Agriculture
202,Pêche,App\Value,fr,Fisheries
203,Aquaculture,App\Value,fr,Aquaculture
204,Agroalimentaire et restauration,App\Value,fr,Food & Beverages
205,Produits d’hygiène personnelle,App\Value,fr,Personal Healthcare
206,Médical,App\Value,fr,Medical
207,Distribution,App\Value,fr,Retail
208,Tourisme,App\Value,fr,Tourism
209,Gestion des eaux usées,App\Value,fr,Wastewater/Sewage management
210,Tout ce qui précède,App\Value,fr,All of the above
211,Sans objet,App\Value,fr,Not applicable
212,Autre,App\Value,fr,Other
213,Financement,App\Value,fr,Funding
214,Financement participatif,App\Value,fr,Crowdfunded
215,Dons volontaires,App\Value,fr,Voluntary donations
216,Fonds publics,App\Value,fr,Public Financing
217,Secteur privé,App\Value,fr,Private Sector
218,Mixte,App\Value,fr,Mixed
219,Tout ce qui précède,App\Value,fr,All of the above
220,Sans objet,App\Value,fr,Not applicable
221,Autre,App\Value,fr,Other
222,Durée,App\Value,fr,Duration
223,Manifestation ponctuelle,App\Value,fr,Single event
224,Moins d’un an,App\Value,fr,Continuous activity less than one year
225,De 1 à 3 ans,App\Value,fr,Continuous activity 1-3 Years
226,Plus de 3 ans,App\Value,fr,Continuous activity more than 3 Years long
227,Sans objet,App\Value,fr,Not applicable
228,Autre,App\Value,fr,Other
229,"Information des parties prenantes (par ex. dépliants, affiches, etc.)",App\Value,fr,"Giving information to stakeholders (e.g., leaflets, posters)"
230,"Consultation interactive avec les parties prenantes (par ex., ateliers)",App\Value,fr,"Consulting with stakeholders interactively (e.g., workshops)"
231,Sondage des parties prenantes (par ex. en ligne),App\Value,fr,Seeking feedback from stakeholders (e.g. online)
232,Cocréation de l’action faisant intervenir les parties prenantes dès le début,App\Value,fr,Co-creating the action with stakeholders from the start
233,Autre,App\Value,fr,Other
234,Oui,App\Value,fr,Yes
235,Non,App\Value,fr,No
236,Secteur industriel,App\Value,fr,Industry
237,Gouvernement,App\Value,fr,Government
238,Organisations non gouvernementales,App\Value,fr,Non Governmental Organisations (NGO's)
239,Organisme des Nations Unies,App\Value,fr,United Nations Agency
240,Association(s) communautaire(s)/citoyenne(s),App\Value,fr,Community/citizen group(s)
241,Autre,App\Value,fr,Other
