translationable_id,text,translationable_type,lang,source
75,Haïti,App\Country,fr,Haiti
76,Hongrie,App\Country,fr,Hungary
77,Indonésie,App\Country,fr,Indonesia
78,Inde,App\Country,fr,India
79,Irlande,App\Country,fr,Ireland
80,Iran (République islamique d’),App\Country,fr,Iran (Islamic Republic of)
81,Iraq,App\Country,fr,Iraq
82,Islande,App\Country,fr,Iceland
83,Israël,App\Country,fr,Israel
84,Italie,App\Country,fr,Italy
85,Jamaïque,App\Country,fr,Jamaica
86,Jordanie,App\Country,fr,Jordan
87,Japon,App\Country,fr,Japan
88,Kazakhstan,App\Country,fr,Kazakhstan
89,Kenya,App\Country,fr,Kenya
90,Kirghizistan,App\Country,fr,Kyrgyzstan
91,Cambodge,App\Country,fr,Cambodia
92,Kiribati,App\Country,fr,Kiribati
93,Saint-Kitts-et-Nevis,App\Country,fr,Saint Kitts and Nevis
94,République de Corée,App\Country,fr,Republic of Korea
95,Koweït,App\Country,fr,Kuwait
96,République démocratique populaire lao,App\Country,fr,Lao People's Democratic Republic
97,Liban,App\Country,fr,Lebanon
98,Libéria,App\Country,fr,Liberia
99,Libye,App\Country,fr,Libya
100,Sainte-Lucie,App\Country,fr,Saint Lucia
101,Liechtenstein,App\Country,fr,Liechtenstein
102,Sri Lanka,App\Country,fr,Sri Lanka
103,Lesotho,App\Country,fr,Lesotho
104,Lituanie,App\Country,fr,Lithuania
105,Luxembourg,App\Country,fr,Luxembourg
106,Lettonie,App\Country,fr,Latvia
107,Maroc,App\Country,fr,Morocco
108,Monaco,App\Country,fr,Monaco
109,République de Moldova,App\Country,fr,"Moldova, Republic of"
110,Madagascar,App\Country,fr,Madagascar
111,Maldives,App\Country,fr,Maldives
112,Mexique,App\Country,fr,Mexico
113,Îles Marshall,App\Country,fr,Marshall Islands
114,ex-République yougoslave de Macédoine,App\Country,fr,The former Yugoslav Republic of Macedonia
115,Mali,App\Country,fr,Mali
116,Malte,App\Country,fr,Malta
117,Myanmar,App\Country,fr,Myanmar
118,Monténégro,App\Country,fr,Montenegro
119,Mongolie,App\Country,fr,Mongolia
120,Mozambique,App\Country,fr,Mozambique
121,Mauritanie,App\Country,fr,Mauritania
122,Maurice,App\Country,fr,Mauritius
123,Malawi,App\Country,fr,Malawi
124,Malaisie,App\Country,fr,Malaysia
125,Namibie,App\Country,fr,Namibia
126,Niger,App\Country,fr,Niger
127,Nigéria,App\Country,fr,Nigeria
128,Nicaragua,App\Country,fr,Nicaragua
129,Pays-Bas,App\Country,fr,Netherlands
130,Norvège,App\Country,fr,Norway
131,Népal,App\Country,fr,Nepal
132,Nauru,App\Country,fr,Nauru
133,Nouvelle-Zélande,App\Country,fr,New Zealand
134,Oman,App\Country,fr,Oman
135,Pakistan,App\Country,fr,Pakistan
136,Panama,App\Country,fr,Panama
137,Pérou,App\Country,fr,Peru
138,Philippines,App\Country,fr,Philippines
139,Palaos,App\Country,fr,Palau
140,Papouasie-Nouvelle-Guinée,App\Country,fr,Papua New Guinea
141,Pologne,App\Country,fr,Poland
142,République populaire démocratique de Corée,App\Country,fr,Dem People's Rep of Korea
143,Portugal,App\Country,fr,Portugal
144,Paraguay,App\Country,fr,Paraguay
145,Qatar,App\Country,fr,Qatar
146,Roumanie,App\Country,fr,Romania
147,Fédération de Russie,App\Country,fr,Russian Federation
148,Rwanda,App\Country,fr,Rwanda
149,Arabie saoudite,App\Country,fr,Saudi Arabia
150,Sénégal,App\Country,fr,Senegal
151,Singapour,App\Country,fr,Singapore
152,Îles Salomon,App\Country,fr,Solomon Islands
153,Sierra Leone,App\Country,fr,Sierra Leone
154,El Salvador,App\Country,fr,El Salvador
155,Saint-Marin,App\Country,fr,San Marino
156,Somalie,App\Country,fr,Somalia
157,Serbie,App\Country,fr,Serbia
158,Sao Tomé-et-Principe,App\Country,fr,Sao Tome and Principe
159,Suriname,App\Country,fr,Suriname
160,Slovaquie,App\Country,fr,Slovakia
161,Slovénie,App\Country,fr,Slovenia
162,Suède,App\Country,fr,Sweden
163,Eswatini,App\Country,fr,Eswatini
164,Seychelles,App\Country,fr,Seychelles
165,République arabe syrienne,App\Country,fr,Syrian Arab Republic
166,Tchad,App\Country,fr,Chad
167,Togo,App\Country,fr,Togo
168,Thaïlande,App\Country,fr,Thailand
169,Tadjikistan,App\Country,fr,Tadjikistan
170,Turkménistan,App\Country,fr,Turkmenistan
171,Timor-Leste,App\Country,fr,Timor-Leste
172,Tonga,App\Country,fr,Tonga
173,Trinité-et-Tobago,App\Country,fr,Trinidad and Tobago
174,Tunisie,App\Country,fr,Tunisia
175,Turquie,App\Country,fr,Turkey
176,Tuvalu,App\Country,fr,Tuvalu
177,République-Unie de Tanzanie,App\Country,fr,United Republic of Tanzania
178,Ouganda,App\Country,fr,Uganda
179,Ukraine,App\Country,fr,Ukraine
180,Uruguay,App\Country,fr,Uruguay
181,États-Unis d’Amérique,App\Country,fr,United States of America
182,Ouzbékistan,App\Country,fr,Uzbekistan
183,Saint-Vincent-et-les Grenadines,App\Country,fr,Saint Vincent and the Grenadines
184,Venezuela (République bolivarienne du),App\Country,fr,Venezuela (Bolivarian Republic of)
185,Viet Nam,App\Country,fr,Viet Nam
186,Vanuatu,App\Country,fr,Vanuatu
187,Samoa,App\Country,fr,Samoa
188,Yémen,App\Country,fr,Yemen
189,Afrique du Sud,App\Country,fr,South Africa
190,Zambie,App\Country,fr,Zambia
191,Zimbabwe,App\Country,fr,Zimbabwe
192,Soudan,App\Country,fr,Sudan
193,Soudan du Sud,App\Country,fr,South Sudan
194,Tous,App\Country,fr,All
195,Autre,App\Country,fr,Other
