Fid,Fname,source
5.7,Citizens who thought a voter ID card was required to vote (by constituencies),5ccfd76a-2f5e-4ee5-afd9-190a9e6e8173
5.8,Citizens’ perceptions of who influenced their vote (all constituencies),5cd2850c-ce84-4faa-a274-1107ee0beef0
5.9,Citizens’ perceptions of who influenced their vote (by constituency),5cd284be-87d4-42b4-b5f1-94f8fc5d4210
5.11,Most important qualities voters want in a candidate (all constituencies),Custom
5.12,Observed polling stations that opened on time (all constituencies),5cd4066f-8093-4e8e-a91a-a102b8f5e902
5.13,Observed polling stations that opened on time (by constituency),5cd29988-4e5f-40b2-8554-bd3cb20200a4
5.14,Compartments that were positioned to adequately screen voters (by constituency),5cd29a39-a410-47b9-99ba-fe514d83d128
5.17,Observers who saw voters (men and women) turned away because their names could not be found on the roll,Custom
5.18,Observed instances of underage voting (by constituency),5cd8f49d-1d1f-4a7d-a3d8-5556b95abd30
6.1,Were ballot boxes transported directly to the counting centre? (all constituencies),5cd92486-5146-440a-88ff-b0d98665243f
6.2,Observers who noted that the count was completed in one day (all constituencies),5cd93fe2-a9c2-4543-9182-a78a81c3d949
6.3,Observers who noted that each ballot paper was displayed for scrutiny (by constituencies),5cd93fa5-2871-4444-9177-a356a7cc65ee
6.4,Observers who noted that the count was conducted in a transparent manner (all constituencies),5cd9455f-7e83-4e83-b1f2-7abecffe251e
6.5,Observers who heard about incidents of minor post-election disturbances in the constituency (all constituencies),5cd93b1f-b2c9-4311-8100-2c7d006ac95e
6.6,Votes received by winning candidate vs second place for 2014 election in North West Choiseul (by box counting),Custom
6.7,Votes received by winning candidate vs second place for 2014 election in North West Choiseul (by batch counting),Custom
6.8,Maringe/Kokota 2014 election results,Custom
6.9,Maringe/Kokota 2019 election results,Custom
5.5,Citizens who believed the winning candidate would find out who they voted for (by constituency),5c997c2d-d4fa-4492-9b6c-348d590c3472
4.7,Voters who said they would vote for a woman candidate (all constituencies and by constituency),5c998616-f56f-40b5-b806-2eb3a3e12801
5.19,Observers’ overall assessment of voter conduct at polling stations,5c9c30b4-6892-4ce8-8d21-d394208658aa
5.16,Polling stations that accommodated the needs of people with disabilities (by constituency),5c9c1ea6-11c9-4644-a29d-6257debcf075
4.13,Heard reports of candidates or candidates’ agents handing over cash to obtain votes (all constituencies and by constituency),5c9c16d9-c121-4e82-bc28-b44e79696319
"4.10",Citizens who were promised support by candidates (all constituencies and by constituency),5cd1080a-9e97-4d5d-b156-5719d993beb6
"4.20",Voters who said their community had received CDF projects in the last five years (all constituencies),5ca2d2e8-f8c3-473e-aac7-3679cd8646e7
"3.10",Citizens who saw any SIEC media or awareness (by constituency),5c99bbe4-d49a-47ef-a143-4e40994adc40
"5.10",Citizens’ perceptions of who influenced their vote (by gender),5d0ad5ab-be35-4745-9ba9-7e17b3cd69a0
