Fid,Fname,source
4.6,Voter ID card is required to vote (All constituencies),5ccfd76a-2f5e-4ee5-afd9-190a9e6e8173
4.7,Most influence in deciding on how to vote (All constituencies),5cd2850c-ce84-4faa-a274-1107ee0beef0
4.7,Most influence in deciding on how to vote (By constituency),5cd284be-87d4-42b4-b5f1-94f8fc5d4210
4.8,Most important factors that influenced voting (All constituencies),custom
4.9,Most important factors that influenced voting – Character of candidate (By constituency),5cda8f34-156b-4537-93be-0a2869876915
4.9,Most important factors that influenced voting – Policies and promises of candidates (By constituency),5cda8fb3-831c-45ed-bc2b-b698ae40df92
4.10,Most important qualities voters want in candidate (All constituencies),custom
4.11,Most important qualities voters want in candidate – Accessible to the community,5cda86a3-5d01-4549-a20e-b6598f213fa8
4.12,Most important qualities voters want in candidate – Good policies,5cda87f9-2b81-4c15-b93e-f5a58601320d
4.7,Polling station opened on time (All constituencies),5cd4066f-8093-4e8e-a91a-a102b8f5e902
4.14,Polling station opened on time (By constituency),5cd29988-4e5f-40b2-8554-bd3cb20200a4
4.15,Polling station accommodates needs of those with disabilities,5c9c1ea6-11c9-4644-a29d-6257debcf075
4.16,Compartments positioned to screen voters from observation,5cd29a39-a410-47b9-99ba-fe514d83d128
4.17,Polling assistants had difficulty locating names on register,5cd8ea5c-80a4-420a-bb4e-934ddd288863
4.18,Women turned away because names could not be found on register,5cd8ea88-078b-44b2-90b5-30db4383b771
4.19,Men turned away because names could not be found on register,5cd8eaeb-03cd-40db-8e17-a410d8abb6ee
4.20,Observed instances of underage voting,5cd8f49d-1d1f-4a7d-a3d8-5556b95abd30
4.21,Overall assessment of voter conduct at polling stations,5cd8f90c-68e5-42e8-a88a-c34621108176
5.1,Transportation of ballot boxes to counting centres (all constituencies),5cd92486-5146-440a-88ff-b0d98665243f
5.2,Was the PO unbiased and impartial (by constituency),5cd92f8e-a652-4268-9615-69eb02f191e8
5.3,Incidents of minor post-election violence (all constituencies),5cd93b1f-b2c9-4311-8100-2c7d006ac95e
5.4,Was the count completed in one day (all constituencies),5cd93fe2-a9c2-4543-9182-a78a81c3d949
5.5,Accounting of ballots by RO (by constituencies),5cd93fa5-2871-4444-9177-a356a7cc65ee
5.7,Sealing of counted and rejected ballot papers (by constituencies),5cd9433b-2def-492f-8a44-c342fee2a670
5.8,Transparency of count (all constituencies),5cd9455f-7e83-4e83-b1f2-7abecffe251e
5.9,Candidates/Counting agents influencing the count (all constituencies),5cd9467e-825a-482a-8318-36550ae98244
5.10,Formal court challenge by candidate (by constituencies),5cadb56c-3ae1-4bcd-9fd6-fae8fe35cbf8
