source,translationable_id,text
Environmental education activities - lectures for graduation students (In Santa Catarina State - Brazil),6205,kegiatan lingkungan pendidikan - kuliah untuk siswa lulus (Dalam Santa Catarina Negara - Brazil)
Official Beach clean up - Volvo Ocean Race Itajaí Stop Over,6258,Resmi Pantai membersihkan - Volvo Ocean Race Itajaí Stop Over
Brazil - Braskem S.A (Narrative Submission Major Group and Stakeholders),6311,Brasil - Braskem S.A (Narasi Submission Major Group dan Pemangku Kepentingan)
Eritrea (Member State Narrative Submission),6364,Eritrea (Anggota Negara Narasi Submission)
OpenLitterMap - High Quality Open Citizen Science Data,6417,OpenLitterMap - Kualitas Tinggi Terbuka Citizen data Sains
"Global Ghost Gear Initiative (GGGI) is a program of Ocean Conservancy, based in Washington, DC, USA. (Narrative Submission Major Group and Stakeholders)",6470,"Ghost global Aksesoris Initiative (GGGI) adalah sebuah program dari Ocean Conservancy, yang berbasis di Washington, DC, USA. (Narasi Submission Major Group dan Pemangku Kepentingan)"
Raising awareness on the state of marine litter around the Port of Lome ,6523,Meningkatkan kesadaran tentang keadaan sampah laut di sekitar Pelabuhan Lome
Monitoring and evaluation,6576,Pemantauan dan evaluasi
"Country laws on plastic bags, straws and foam",6629,"hukum negara pada tas plastik, sedotan dan busa"
AWARENESS RAISING,6682,KESADARAN BUDIDAYA
MAKE LOME PLASTIC FREE,6735,MEMBUAT Lome PLASTIK GRATIS
Review of Annexes I and III to the Basel Convention (hazardous characteristics),6788,Ulasan Lampiran I dan III pada Konvensi Basel (karakteristik berbahaya)
Cleaning the ocean,6841,Membersihkan laut
Coleção Didática e Científica de Lixo Marinho - COLIXO/IFBAIANO,6894,Coleção Didática e Científica de Lixo Marinho - COLIXO / IFBAIANO
Mexico (Member State Narrative Submission),6947,Mexico (Anggota Negara Narasi Submission)
Systems Based Approach to Plastics Management,7000,Pendekatan sistem Berbasis Manajemen Plastik
Basel Convention Partnership on Plastic Waste,7053,Konvensi Basel Kemitraan Sampah Plastik
Finnish summary translation from 2019 WWF International’s report Solving Plastic pollution through Accountability,7106,Finlandia Ringkasan terjemahan dari laporan 2019 WWF International Memecahkan polusi plastik melalui Akuntabilitas
Commission for Economic Cooperation (CEC) North American marine litter project,7159,Komisi Kerjasama Ekonomi (CEC) Amerika Utara kelautan proyek sampah
Assessment of plastic bag ban in Mexico City,7212,Penilaian larangan kantong plastik di Mexico City
Ban the bottle campaign ,7265,Melarang kampanye botol
Launch of communication campaing on phasing out single use plastics,7318,Peluncuran campaing komunikasi pada pentahapan keluar penggunaan plastik tunggal
Formulation of the National Plan for the Sustainable Management of Single-Use Plastics,7371,Penyusunan Rencana Nasional Pengelolaan Berkelanjutan Single-Gunakan Plastik
SEA circular - solving plastic pollution at source,7424,SEA melingkar - memecahkan polusi plastik pada sumbernya
MoreSe (Narrative Submission Major Group and Stakeholders),7477,MORESE (Narasi Submission Major Group dan Pemangku Kepentingan)
Environmental Education & Plastics Recycling ,7530,Pendidikan Lingkungan & Plastik Daur Ulang
Plastic Smart Cities,7583,Plastik Cerdas Kota
Survey in marine litter and microplactics,7636,Survey di sampah laut dan microplactics
MedBioLitter: an open database on marine litter and biodiversity science,7689,MedBioLitter: database terbuka pada sampah laut dan ilmu pengetahuan keanekaragaman hayati
Greening of the Pacific Games Samoa 2019,7742,Penghijauan Olimpiade Pasifik Samoa 2019
Rivers Cleanup,7795,sungai Cleanup
Campaign - hasing out problematic single-use plastic items,7848,Kampanye - hasing keluar bermasalah tunggal menggunakan barang-barang plastik
"New Zealand:  the New Zealand Product Stewardship Council Narrative Submission, Aotearoa Plastic Pollution Alliance, Massey University Political Ecology Research Centre",7901,"Selandia Baru: Selandia Baru Produk Stewardship Council Narasi Submission, Aotearoa Plastik Polusi Alliance, Massey University Politik Ekologi Research Center"
Shouhuhaianxian2018-2019,7954,Shouhuhaianxian2018-2019
Mingas por el Mar Foundation,8007,Mingas por el Mar Yayasan
Interfaith Partnership for Sustainable and Clean Environment in Nigeria/Interfaith Ocean and Land Plastic Litter Initiative,8060,Interfaith Kemitraan Berkelanjutan dan Lingkungan Bersih di Nigeria / Interfaith Samudera dan Tanah Plastik Litter Initiative
Municipal Waste Recycling Program,8113,Program Daur Ulang Limbah kota
UNEP North America Office: Mississippi River Plastics Reduction Initiative (Narrative Submission UN Organizations),8166,UNEP Amerika Utara Office: Mississippi River Plastik Pengurangan Initiative (Narasi Submission Organisasi PBB)
HELCOM Monitoring sub-programme on beach litter,8219,HELCOM Pemantauan sub-program yang di pantai sampah
Trash Free Water,8272,Sampah Gratis Air
GESAMP Working Group 40 WG 40: Plastics and micro-plastic in the Ocean,8325,GESAMP Kelompok Kerja 40 WG 40: Plastik dan mikro-plastik di Samudera
France (Member State Narrative Submission),8378,Perancis (Anggota Negara Narasi Submission)
Republic of Korea (Member State Narrative Submission),8431,Republik Korea (Anggota Negara Narasi Submission)
National Recyclable Solid Waste Collection Project (iCARE project),8484,Koleksi Proyek Nasional didaur ulang Limbah Padat (proyek iCARE)
Trash Amendments to Water Quality Control Plans,8537,Sampah Perubahan Rencana Pengendalian Mutu Air
Beach clean-ups; teaching 3 Rs; raising awareness and personal action of learners and teachers about the sea,8590,Pantai bersih-up; mengajar 3 Rs; meningkatkan kesadaran dan tindakan pribadi peserta didik dan guru tentang laut
Follow-up of the impact of tax on plastic bags and the implementation of Resolution 668 of 2016,8643,Tindak lanjut dari dampak pajak atas kantong plastik dan pelaksanaan Resolusi 668 2016
Promotion of international cooperation,8696,Promosi kerjasama internasional
Conversion of plastics rejects into ROGP,8749,Konversi dari plastik menolak menjadi ROGP
Islamic Republic of Iran (Member State Narrative Submission),8802,Republik Islam Iran (Anggota Negara Narasi Submission)
"Ocean Conservancy, Washington, DC, USA. (Narrative Submission Major Group and Stakeholders)",8855,"Ocean Conservancy, Washington, DC, USA. (Narasi Submission Major Group dan Pemangku Kepentingan)"
Brazil – Argonauta Institute for Coastal and Marine Conservation in partnership with the Ubatuba´s Aquarium (Narrative Submission Major Group and Stakeholders),8908,Brasil - Argonauta Institut Pesisir dan Konservasi Laut dalam kemitraan dengan Ubatuba's Aquarium (Narasi Submission Major Group dan Pemangku Kepentingan)
UNEP North America Office: Assessing the plastic footprint in agriculture (Narrative Submission UN Organizations),8961,UNEP Amerika Utara Office: Menilai jejak plastik di bidang pertanian (Narasi Submission Organisasi PBB)
Espetáculo Mar de Soluções (Sea of solutions Show),9014,Espetáculo Mar de Soluções (Sea solusi Tampilkan)
COBSEA Regional Action Plan on Marine Litter (RAP MALI),9067,COBSEA Rencana Aksi Daerah Kelautan Litter (RAP MALI)
Investigating the link between marine litter and mosquito-borne diseases,9120,Menyelidiki hubungan antara sampah laut dan penyakit yang dibawa nyamuk
RecycleIt!,9173,RecycleIt!
Proposed actions to address ALDFG in the Baltic Sea,9226,tindakan yang diusulkan ke alamat ALDFG di Laut Baltik
International Council of Chemical Association (Narrative Submission Major Group and Stakeholders),9279,Dewan Internasional Asosiasi Kimia (Narasi Submission Major Group dan Pemangku Kepentingan)
Community Recycling Station and Point,9332,Stasiun Daur Ulang masyarakat dan Titik
HELCOM monitoring guidelines for marine litter on beaches,9385,pedoman pemantauan HELCOM untuk sampah laut di pantai
H2020 ITN Limnoplast,9438,H2020 ITN Limnoplast
Global Tourism Plastics Initiative,9491,Pariwisata Global Plastik Initiative
National Ecosocialist Technical Tables,9544,Tabel nasional eko-sosialis Teknis
National roadmaps for Low Carbon and Resource Efficient Accommodation,9597,peta jalan nasional untuk Karbon Rendah dan Sumber Daya Akomodasi Efisien
Marine debris removal activities,9650,kegiatan penghapusan sampah laut
UNEP-IUCN national guidance for plastic pollution hotspotting and shaping action,9703,pedoman nasional UNEP-IUCN untuk plastik hotspotting polusi dan tindakan membentuk
UFSC sem Plástico (UFSC Plastic Free project),9756,UFSC sem Plastico (proyek UFSC Plastik Gratis)
Asia-Pacific Economic Cooperation (Narrative Submission Major Group and Stakeholders),9809,Kerjasama Ekonomi Asia-Pasifik (Narasi Submission Major Group dan Pemangku Kepentingan)
"Food and Agriculture Organization Headquarters, Rome Italy, Corporate Services Department, Corporate Environmental Responsibility Team (Narrative Submission UN Organizations)",9862,"Organisasi Pangan dan Pertanian Markas, Roma Italia, Departemen Corporate Services, Perusahaan Tim Tanggung Jawab Lingkungan (Narasi Submission Organisasi PBB)"
Capacity-building ,9915,Kapasitas
My Step Charitable Foundation,9968,Langkah saya Yayasan Amal
SDG 14 Accelerator ,10021,SDG 14 Accelerator
Community mobilisation for keeping River Ganga clean and plastic pollution free,10074,mobilisasi masyarakat untuk menjaga Sungai Gangga bersih dan plastik yang bebas polusi
"Legislation: Senate Bill 1263, Microplastics Strategy",10127,"Legislasi: Senat Bill 1263, Microplastics Strategi"
Principles for design reducing/ preventing marine litter,10180,Prinsip untuk desain mengurangi / mencegah sampah laut
SHARE Program,10233,Program SHARE
Asia Pacific Day for the Ocean,10286,Asia Hari Pasifik untuk Samudera
Marine debris action planning,10339,perencanaan tindakan sampah laut
Association Welfare (Narrative Submission Major Group and Stakeholders),10392,Welfare Association (Narasi Submission Major Group dan Pemangku Kepentingan)
UNEP deliverables under the GEF-funded project (2017-2019): “Addressing Marine Plastics-  A  Systemic  Approach” ,10445,kiriman UNEP bawah proyek GEF didanai (2017-2019): “Mengatasi Kelautan Plastics- A sistemik Pendekatan”
Waste Wise Cities Campaign,10498,Limbah Wise Kota Kampanye
Environmental education campaign using the micro theater and puppet works as communication tools,10551,Kampanye pendidikan lingkungan menggunakan teater mikro dan boneka bekerja sebagai alat komunikasi
Development and analysis of a global Plastics Policy Inventory,10604,Pengembangan dan analisis dari Inventarisasi Kebijakan Plastik global yang
Networking,10657,jaringan
Food and Agriculture Organization Fisheries Division Narrative Submission UN Organizations,10710,Organisasi Pangan dan Pertanian Divisi Perikanan Narasi Submission Organisasi PBB
REDE DE COOPERAÇÃO PARA O PLASTICO,10763,REDE DE COOPERAÇÃO PARA O PLASTICO
APEC - Marine Debris Roadmap,10816,APEC - Kelautan Puing Roadmap
Community Education,10869,komunitas Pendidikan
Possible measures to reduce releases of EPS and XPS to the Baltic Sea,10922,tindakan yang memungkinkan untuk mengurangi rilis dari EPS dan XPS ke Laut Baltik
Nordic Coastal Clean Up,10975,Nordic Coastal Clean Up
Plastic banning,11028,plastik melarang
ESCAP 76th Commission theme study,11081,Studi tema ESCAP ke-76 Komisi
Waste fishing nets as reinforcement in concrete,11134,Limbah jaring ikan sebagai penguat dalam beton
"Beach cleaning campaign, Libya",11187,"kampanye pembersihan pantai, Libya"
Netherlands (Member State Narrative Submission),11240,Belanda (Anggota Negara Narasi Submission)
United Kingdom (Member State Narrative Submission),11293,United Kingdom (Anggota Negara Narasi Submission)
Establishment of a pilot waste separation facility in Dashtaqar landfill of Ararat region,11346,Pembentukan fasilitas pemisahan sampah percontohan di Dashtaqar TPA daerah Ararat
MARELITT Baltic – Reducing the impact of marine litter in the form of derelict fishing gear in the Baltic Sea,11399,MARELITT Baltik - Mengurangi dampak dari sampah laut dalam bentuk gigi terlantar memancing di Laut Baltik
Haiti Cholera Research Funding Foundation Inc (Narrative Submission Major Group and Stakeholders),11452,Haiti Kolera Penelitian Pendanaan Foundation Inc (Narasi Submission Major Group dan Pemangku Kepentingan)
"Minderoo Foundation, Australia (Narrative Submission Major Group and Stakeholders)",11505,"Minderoo Foundation, Australia (Narasi Submission Major Group dan Pemangku Kepentingan)"
World Health Organization (Narrative Submission UN Organizations),11558,Organisasi Kesehatan Dunia (Narasi Submission Organisasi PBB)
AB 1884: Straws on Request Law,11611,AB 1884: Sedotan pada Permintaan Hukum
Updating the technical guidelines for the identification and environmentally sound management of plastic wastes and for their disposal,11664,Memperbarui pedoman teknis untuk identifikasi dan pengelolaan yang ramah lingkungan dari limbah plastik dan untuk pembuangan mereka
Development of a waste study on single-use plastics within the Accommodation Sector in Saint Lucia ,11717,Pengembangan penelitian limbah di sekali pakai plastik dalam Sektor Akomodasi di Saint Lucia
Marine debris monitoring and assessment,11770,Laut monitoring puing-puing dan penilaian
Gestion des déchets plastiques ,11823,Gestion des déchets Plastiques
Ivestigate options to ship plastics for recycling,11876,Ivestigate pilihan untuk kapal plastik untuk didaur ulang
DeFishGear monitoring of marine litter in Montenegro,11929,DeFishGear pemantauan dari sampah laut di Montenegro
Elaboration and adoption of the Regional Action Plan on marine litter management,11982,Elaborasi dan adopsi dari Rencana Aksi Daerah tentang pengelolaan sampah laut
Algalita Marine Research and Education South Pacific Trust Narrative Submission [Algalita South Pacific] New Zealand,12035,Algalita Kelautan Penelitian dan Pendidikan Pasifik Selatan Kepercayaan Narasi Submission [Algalita Pasifik Selatan] Selandia Baru
Interreg Project Preventing Plastic Pollution (PPP),12088,INTERREG Proyek Mencegah Polusi Plastik (PPP)
Plastic Blues ,12141,Blues plastik
UNEP/ Mediterranean Action Plan (MAP) Barcelona Convention Secretariat (Narrative Submission UN Organizations),12194,UNEP / Rencana Aksi Mediterania (MAP) Barcelona Konvensi Sekretariat (Narasi Submission Organisasi PBB)
National Campaign,12247,Kampanye nasional
	Le Programme National des Déchets Ménagers (PNDM),12300, Le Program Nasional des Déchets Ménagers (PNDM)
"Diagnosis of pollution by marine litter in the Lagoa do Peixe National Park and surrounding municipalities, Brazil",12353,"Diagnosis pencemaran oleh sampah laut di Lagoa do Taman Nasional Peixe dan kota sekitarnya, Brasil"
The sea anemone Bunodosoma cangicum as a potential biomonitor for microplastics contamination on the Brazilian Amazon coast,12406,Anemon laut Bunodosoma cangicum sebagai biomonitor potensi microplastics Kontaminasi di pantai Brasil Amazon
"Brazil, Instituto Sea Shepherd Brasil (Sea Shepherd Brazil Institute) (Narrative Submission Major Group and Stakeholders)",12459,"Brazil, Instituto Sea Shepherd Brasil (Sea Shepherd Brasil Institute) (Narasi Penyampaian Major Group dan Pemangku Kepentingan)"
Caribbean Environment Programme (UNEP CEP) Narrative Submission UN Organizations,12512,Program Lingkungan Karibia (UNEP CEP) Narasi Submission Organisasi PBB
Aquário de Ubatuba – cidade de Ubatuba –SP (Narrative Submission Major Group and Stakeholders),12565,Aquário de Ubatuba - cidade de Ubatuba -SP (Narasi Submission Major Group dan Pemangku Kepentingan)
Clean Coast Program,12618,Program Coast bersih
"Monthly trash cleanup, Kenya",12671,"pembersihan sampah bulanan, Kenya"
awareness about hazards of plastic on environment,12724,kesadaran tentang bahaya plastik terhadap lingkungan
Denmark (Member State Narrative Submission),12777,Denmark (Anggota Negara Narasi Submission)
Israel (Member State Narrative Submission),12830,Israel (Anggota Negara Narasi Submission)
"Comic book: ""Mariana e a batalha contra os SuperMacabros: a ameaça do lixo nos mares""(pt)/ ""Mariana and the battle against the ghost storm: the threat posed by marine debris"" (en) ",12883,"buku komik: ""Mariana e a batalha kontra SuperMacabros os: a ameaça melakukan lixo nos kuda"" (pt) / ""Mariana dan pertempuran melawan badai hantu: ancaman yang ditimbulkan oleh sampah laut"" (en)"
Verão no Clima,12936,Verão ada Clima
From Pollution to Product,12989,Dari Polusi ke Produk
Participação no Projeto Consciência na Praia,13042,Participação ada Projeto Consciência na Praia
Environmental ethics ,13095,etika lingkungan
UNDP Ocean Innovation Challenge (Global Water and Ocean Governance Support Programme) ,13148,UNDP Samudera Inovasi Challenge (Global Air dan Program Dukungan Samudra Governance)
Baltic Sea Challenge,13201,Laut Baltik Tantangan
