Livelihoods of cocoa producing communities,Lebensgrundlagen kakaoproduzierender Gemeinden,Balanced nutrition,Ausgewogene Ernährung
Livelihoods of cocoa producing communities,Lebensgrundlagen kakaoproduzierender Gemeinden,Clean water,Sauberes Wasser
Livelihoods of cocoa producing communities,Lebensgrundlagen kakaoproduzierender Gemeinden,Education: access and educational outcomes,Bildung: Zugang und Bildungsergebnisse
Livelihoods of cocoa producing communities,Lebensgrundlagen kakaoproduzierender Gemeinden,Access to health,Zugang zur Gesundheit
Economic and social empowerment of cocoa producing communities,Wirtschaftliche und soziale Stärkung der kakaoproduzierenden Gemeinschaften,Land tenure and share cropping arrangements,Landbesitz und gemeinsame Erntevereinbarungen
Economic and social empowerment of cocoa producing communities,Wirtschaftliche und soziale Stärkung der kakaoproduzierenden Gemeinschaften,Development of local markets,Entwicklung lokaler Märkte
Economic and social empowerment of cocoa producing communities,Wirtschaftliche und soziale Stärkung der kakaoproduzierenden Gemeinschaften,"Entrepreneurship, business case development and business incubation","Unternehmertum, Business Case-Entwicklung und Unternehmensgründung"
Economic and social empowerment of cocoa producing communities,Wirtschaftliche und soziale Stärkung der kakaoproduzierenden Gemeinschaften,Training /Adult skills development in cocoa farming communities,Weiterbildung / Entwicklung der Fähigkeiten von Erwachsenen in kakaoproduzierenden Gemeinschaften
Economic and social empowerment of cocoa producing communities,Wirtschaftliche und soziale Stärkung der kakaoproduzierenden Gemeinschaften,Access to finance for cocoa farming communities,Zugang zu Finanzmitteln für kakaoproduzierende Gemeinschaften
Economic and social empowerment of cocoa producing communities,Wirtschaftliche und soziale Stärkung der kakaoproduzierenden Gemeinschaften,Income generating activities (excluding VSLA and crop diversification),Einkommensgenerierende Aktivitäten (ohne VSLA und Diversifizierung der Kulturpflanzen)
Economic and social empowerment of cocoa producing communities,Wirtschaftliche und soziale Stärkung der kakaoproduzierenden Gemeinschaften,Improving gender equality and opportunities for women,Verbesserung der Gleichstellung der Geschlechter und der Chancen für Frauen
Economic and social empowerment of cocoa producing communities,Wirtschaftliche und soziale Stärkung der kakaoproduzierenden Gemeinschaften,Promoting the participation of young people in the cocoa cultivation/cocoa sector,Förderung der Beteiligung junger Menschen am Kakaoanbau / im Kakaosektor
Economic and social empowerment of cocoa producing communities,Wirtschaftliche und soziale Stärkung der kakaoproduzierenden Gemeinschaften,Promotion of local civil society,Förderung der lokalen Zivilgesellschaft
Halting deforestation - Forest preservation and restoration,Entwaldung stoppen - Erhaltung und Wiederherstellung des Waldes,Halting (cocoa related) deforestation,Stopp der (kakaobezogenen) Entwaldung
Halting deforestation - Forest preservation and restoration,Entwaldung stoppen - Erhaltung und Wiederherstellung des Waldes,Forest protection and conservation,Waldschutz und –erhaltung
Halting deforestation - Forest preservation and restoration,Entwaldung stoppen - Erhaltung und Wiederherstellung des Waldes,Forest restoration - forestation of targeted areas,Waldrestaurierung - Aufforstung von Zielgebieten
Halting deforestation - Forest preservation and restoration,Entwaldung stoppen - Erhaltung und Wiederherstellung des Waldes,The status of protected areas and the role forest plays in climate regulation,Der Status von Schutzgebieten und die Rolle des Waldes bei der Klimaregulierung
Environmentally sustainable farming,Umweltverträgliche Landwirtschaft,"Regional strategies and/or programmes for integrated, environmentally sustainable, agricultural development","Regionale Strategien und / oder Programme für eine integrierte, umweltverträgliche landwirtschaftliche Entwicklung"
Environmentally sustainable farming,Umweltverträgliche Landwirtschaft,Organic farming,Biologische/ökologische  Landwirtschaft
Environmentally sustainable farming,Umweltverträgliche Landwirtschaft,Good Environmental Practices in farming,Gute Umweltpraktiken in der Landwirtschaft
Environmentally sustainable farming,Umweltverträgliche Landwirtschaft,Integrated pest management / curbing the usage of hazardous pesticides,Integriertes Schädlingsmanagement / Eindämmung des Einsatzes gefährlicher Pestizide
Environmentally sustainable farming,Umweltverträgliche Landwirtschaft,Soil restoration,Bodenrestaurierung
Environmentally sustainable farming,Umweltverträgliche Landwirtschaft,Environmental and bio-diversity outcomes of cocoa-agroforestry and organic / integrated farming,Umwelt- und Biodiversitätsauswirkungen von Kakao-Agroforstwirtschaft und von biologischen/  ökologischem  oder integriertem Anbau
Climate Change,Klimawandel,Climate change adaption (mitigation of adverse climate change impact),Anpassung an den Klimawandel (Abschwächung der nachteiligen Auswirkungen des Klimawandels)
Climate Change,Klimawandel,Climate Smart Cocoa (good practices),Climate Smart Cocoa (bewährte Verfahren)
Climate Change,Klimawandel,REDD++,REDD ++
